,Description##Other##,Model##Other##,Wall Mounted Hose##Other##,Spout Visibility##Other##,Soap Dish Visability##Other##,Shower Head Visibility##Other##,Shower Head Type##Other##,Mounting Bar Visibility##Other##,Hose Visibility##Other##,Handset Visibility##Other##,Handset Type##Other##,Flow Control Type##Other##,Diverter Visibility##Other##,Diverter Type##Other##,Aqua Panel On##Other##,Shower Head Placement Height##Length##Inches,Placement Height##Length##Inches,Mounting Bar Placement Height##Length##Inches,Mounting Bar Glide Height##Length##Inches,Hose Offset From Center (Right)##Length##Inches,Hose Offset From Center (Left)##Length##Inches,Hose Height Right##Length##Inches,Hose Height Left##Length##Inches,Hose Connection Placement Height##Length##Inches,Handset Placement Height##Length##Inches,Flow Control Placement Height##Length##Inches,Diverter Placement Height##Length##Inches,Product Documentation Link##Other##
Z7500-DV2P-HW,Aqua-Panel Shower Unit,Z7500-DV2P-HW,0,0,1,1,Shower_Head-Institutioinal-Zurn-Z7500-i2-Fixed_Spray : 2.5GPM Z7500-i2,1,1,1,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Flow_Control-Shower_Head-Zurn-Z7500-1.25 : Z7500-1.25,1,Valve-Diverter-Zurn-Z7500-Two_Way : Z7500-DV,1,27.5,36,31,8,8,3.875,24.1875,30,21.75,15.75,4.5,16,http://www.zurn.com/pages/catalog.asp?ProductGroupID=145&ProductName=Z7500#p3324
Z7500,Aqua-Panel Shower Unit,Z7500,0,0,1,1,Shower_Head-Institutioinal-Zurn-Z7500-i2-Fixed_Spray : 2.5GPM Z7500-i2,0,0,0,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Flow_Control-Shower_Head-Zurn-Z7500-1.25 : Z7500-1.25,0,Valve-Diverter-Zurn-Z7500-Two_Way : Z7500-DV,1,27.5,36,31,8,8,3.875,24.1875,30,21.75,15.75,4.5,16,http://www.zurn.com/pages/catalog.asp?ProductGroupID=145&ProductName=Z7500#p3321
Z7301-SS-MT-DV2P-HW (Men),Temp-Gard III Shower Unit,Z7301-SS-MT-DV2P-HW,1,0,0,1,Shower_Head-Zurn-Z7301 : 2.5GPM Z7500-i2,1,1,1,Shower_Hand_Unit-Zurn-Z7301 : Z7301,Valve-Mixing-Zurn-Z7300 : Mixing,1,Valve-Diverter-Zurn-Z7301 : Z7301,0,34.875,41,27,19.25,6,6,21.5,33.25,35,23,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&OperationID=3&page=1#p3903
Z7301-SS-MT-DV2P-HW (Women),Temp-Gard III Shower Unit,Z7301-SS-MT-DV2P-HW,1,0,0,1,Shower_Head-Zurn-Z7301 : 2.5GPM Z7500-i2,1,1,1,Shower_Hand_Unit-Zurn-Z7301 : Z7301,Valve-Mixing-Zurn-Z7300 : Mixing,1,Valve-Diverter-Zurn-Z7301 : Z7301,0,28.875,41,27,19.25,6,6,21.5,33.25,35,23,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&OperationID=3&page=1#p3903
Z7300-SS-HW-MT,Temp-Gard III Shower Unit,Z7300-SS-HW-MT,1,0,0,0,Shower_Head-Zurn-Z7301 : 2.5GPM Z7500-i2,1,1,1,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Valve-Mixing-Zurn-Z7300 : Mixing,0,Valve-Diverter-Zurn-Z7301 : Z7301,0,28.875,44,34,14.875,6,0,28,36,34,25.5625,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&OperationID=3&page=1#p3898
Z7302-SS-MT-DV2P-HW (Men),Temp-Gard III Tub and Shower Unit,Z7302-SS-MT-DV2P-HW ,1,1,0,1,Shower_Head-Zurn-Z7302 : 2.5GPM Z7500-i2,1,1,1,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Valve-Mixing-Zurn-Z7300 : Mixing,1,Valve-Diverter-Zurn-Z7301 : Z7301,0,29,48,24,19,8,6,22,30,28,19.8125,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&ProductName=Z7301%2DSSC%2DMT#p3904
Z7302-SS-MT-DV2P-HW (Women),Temp-Gard III Tub and Shower Unit,Z7302-SS-MT-DV2P-HW,1,1,0,1,Shower_Head-Zurn-Z7302 : 2.5GPM Z7500-i2,1,1,1,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Valve-Mixing-Zurn-Z7300 : Mixing,1,Valve-Diverter-Zurn-Z7301 : Z7301,0,23,48,24,19,8,6,22,30,28,19.8125,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&ProductName=Z7301%2DSSC%2DMT#p3904
Z7302-SS-MT,Temp-Gard III Tub and Shower Unit,Z7302-SS-MT,0,1,0,1,Shower_Head-Zurn-Z7302 : 2.5GPM Z7500-i2,0,0,0,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Valve-Mixing-Zurn-Z7300 : Mixing,0,Valve-Diverter-Zurn-Z7301 : Z7301,0,32,48,24,19,8,6,22,30,28,20,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&ProductName=Z7301%2DSSC%2DMT#p3900
Z7301-SS-MT,Temp-Gard III Shower Unit,Z7301-SS-MT,0,0,0,1,Shower_Head-Zurn-Z7301 : 2.5GPM Z7500-i2,0,0,0,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Valve-Mixing-Zurn-Z7300 : Mixing,0,Valve-Diverter-Zurn-Z7301 : Z7301,0,31.875,48,24,19,8,6,22,30,28,20,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&OperationID=3&page=1#p3899
Z7300-SS-MT,Temp-Gard III Tub and Shower Valve,Z7300-SS-MT,0,0,0,0,Shower_Head-Zurn-Z7301 : 2.5GPM Z7500-i2,0,0,0,Shower_Hand_Unit-Zurn-Z7300 : Z7300,Valve-Mixing-Zurn-Z7300 : Mixing,0,Valve-Diverter-Zurn-Z7301 : Z7301,0,32,48,24,19,8,6,22,30,28,20,0,7,http://www.zurn.com/pages/catalog.asp?ProductGroupID=162&OperationID=3&page=1#p3896
